label,ax_A_mean,ax_A_std,ax_A_RMS,ax_A_energy,ax_A_entropy,ay_A_mean,ay_A_std,ay_A_RMS,ay_A_energy,ay_A_entropy,az_A_mean,az_A_std,az_A_RMS,az_A_energy,az_A_entropy,ax_B_mean,ax_B_std,ax_B_RMS,ax_B_energy,ax_B_entropy,ay_B_mean,ay_B_std,ay_B_RMS,ay_B_energy,ay_B_entropy,az_B_mean,az_B_std,az_B_RMS,az_B_energy,az_B_entropy,ax_C_mean,ax_C_std,ax_C_RMS,ax_C_energy,ax_C_entropy,ay_C_mean,ay_C_std,ay_C_RMS,ay_C_energy,ay_C_entropy,az_C_mean,az_C_std,az_C_RMS,az_C_energy,az_C_entropy,ax_D_mean,ax_D_std,ax_D_RMS,ax_D_energy,ax_D_entropy,ay_D_mean,ay_D_std,ay_D_RMS,ay_D_energy,ay_D_entropy,az_D_mean,az_D_std,az_D_RMS,az_D_energy,az_D_entropy,ax_E_mean,ax_E_std,ax_E_RMS,ax_E_energy,ax_E_entropy,ay_E_mean,ay_E_std,ay_E_RMS,ay_E_energy,ay_E_entropy,az_E_mean,az_E_std,az_E_RMS,az_E_energy,az_E_entropy
階段降り,-9870.365,4369.892621309475,152656.52082698597,1681984916970.9365,1.5949775371391304,1962.57,1127.494414664658,32009.13825769135,95220533833.33551,1.8098063842262566,883.335,723.8182664004825,16150.502190334517,20118439294.82557,2.468483727016517,-9822.045,4642.413955365787,153638.91129202914,1685031131001.629,1.6441416555805077,-2233.065,1350.2846554615812,36904.872158022714,91129725466.02551,2.2661010254149967,13.01,1094.9819404446816,15486.476100133303,18158349217.62358,3.030757073920531,-10112.07,10509.54020331527,206254.40357480856,2126461761896.3687,2.3452466826977014,631.4,7459.042679191479,105864.04833558935,449768498642.01807,3.635200583184578,525.44,8895.601356086052,126022.07003537119,369364870972.41504,4.4847226568140375,-10441.555,7756.761469645371,183952.9392616492,2968700402566.0713,3.2888524601032048,-2119.875,8979.177078072076,130475.66134340917,1797805309620.4087,3.893637924527947,1194.965,8060.641086400942,115240.51030345188,1625223856276.957,4.533736155723229,-9719.58,4055.143293843018,148939.19733233424,1604987763991.5454,1.4636058067092248,1037.15,2963.6911019031663,44405.2813750797,85226493430.05356,3.8676372549107603,1650.75,2141.6511241329667,38240.41082415303,97961245429.22981,3.1500832032394905
階段降り,-9564.01,4363.846102911971,148669.72798118653,1766057961353.123,1.744152293337383,2028.24,1125.7792955992752,32805.90349312148,89315988934.18396,1.446663991517814,1006.785,677.2104316791052,17159.42892406388,11376300199.026783,2.3328633988811323,-9642.315,4502.867358225756,150499.20465238346,1718051250889.8896,1.8098940822532863,-2123.465,1150.860720841145,34157.23643680794,99264659504.79951,2.3100224147292394,-49.69,953.359383391174,13500.838566548377,17469688646.029716,3.741205345421262,-9925.085,9856.56013108909,197817.6381797134,4671406913626.734,3.772706530510397,868.8,6006.476591147258,85828.403783363,1198919510467.986,4.0432841672936135,1292.17,8067.305823575797,115543.175099181,2163283953903.9531,4.629679041957681,-10397.695,9638.280197316062,200503.6191568621,2232397851493.3687,2.67057304756314,-2101.395,11048.809395540091,159054.73900830492,648291469929.1942,3.8826400235818146,10.465,10447.655882961259,147752.24056845973,641732921236.2827,4.393501837996121,-9604.665,3929.461219146336,146758.4786204872,1686443458881.6375,1.7676442283180438,1149.15,3198.262240264234,48061.26731579183,253900186095.15375,4.383510303840689,1691.455,2292.376482599444,40288.98101218248,134083867639.31308,3.648585230884305
階段降り,-9397.035,4547.312751920083,147636.2557470217,1752547325729.6992,1.7104595873140425,2040.105,986.7748902231956,32049.190613804898,67299858436.86,1.7012447985189494,950.82,737.9905674193946,17021.68469922998,16763931513.094982,2.1017375357504164,-9367.155,4535.480057389185,147182.9963990406,1739314160549.4336,1.6514390579811256,-1913.82,1179.4423036333737,31792.424066119904,78345507914.00192,1.927276317151295,94.825,910.7899781920087,12950.136408547982,11245490567.562397,3.6094864212903506,-9764.44,6512.376987429398,165985.14544380168,2477461006650.255,2.802292273527333,962.02,4667.1567961233095,67391.14932986378,504539870934.2508,4.085837409380616,1294.64,5788.375930293401,83882.52337644594,960396037616.4307,4.508387750491146,-10021.32,9918.448571102233,199400.33931766514,2464510245528.9116,2.707597567125572,-1639.28,10759.4823180114,153917.96429916815,1018101155283.4579,3.5757102505484113,-34.055,10600.999412884381,149921.54501271658,928217351065.4539,4.492472632471875,-9349.765,4127.647073064146,144537.59089939197,1674006155977.8076,1.6399823676264291,1048.385,2637.7548230976668,40141.90233409473,129495449359.41264,4.105460630746428,1579.76,2011.6643910950952,36173.01557791387,114120627949.83733,3.034488802501042
階段降り,-10369.62,4865.534581687812,161989.16365609152,1778384451247.2393,1.739424949539591,2181.32,987.6661215208305,33863.376411692916,79050747248.44777,1.6946123723413653,832.295,739.1851310564898,15742.36084581979,28586381612.558487,2.1902105237460363,-10195.6,4800.404478791348,159370.09915288375,1781522875813.0825,1.7516846021194634,-2066.32,1018.7968824059094,32581.05409590058,85520645178.82108,1.6592183913529448,163.66,913.0654272285203,13118.483677620672,11594637703.54876,3.4505633476925963,-10942.015,9486.969982284912,204807.3688640133,3280129803903.256,3.3821182185159415,1469.18,6805.952621609997,98467.74188535045,830118459185.4982,3.8172472003814217,405.465,7679.456202673144,108755.18326498283,902159085113.869,4.521975908409482,-10687.33,9673.544185100931,203860.97205203355,2871186523066.709,3.070009198706207,-1627.085,8644.981596728534,124405.0741770608,1418656987236.7769,3.74334038634045,123.855,10552.042216271455,149238.69136051816,1288099411131.0908,4.560907274111964,-10127.055,4513.432675024079,156798.1616505755,1740671377482.1755,1.7598429914607658,1116.005,2929.1248701574677,44328.86117418313,173894492656.0003,4.1325453502667955,1857.265,2161.096750442932,40298.318687012244,117555720594.3063,3.078199302139652
階段降り,-10174.26,3640.7496360502482,152820.56436226115,1749091026364.0972,1.4252832536876237,2296.145,907.2222682314407,34915.1374191768,80439420795.07065,1.7338360785045845,167.1,1027.4938296651712,14721.861159513766,9972080063.499844,2.4099992525215255,-10047.13,3822.105212196547,152021.91255868346,1786730857516.2092,1.5023972993880381,-2133.24,941.3845082642906,32975.499056117405,78319723393.65749,1.4799657778418562,19.985,1029.4697930366874,14561.644515644515,13025955671.018578,3.215604153991762,-10682.72,8868.652273124706,196353.50760299648,2277406541782.6055,2.4369656753895175,1653.945,6098.172408351127,89356.85847767926,213005773038.74115,3.7743748310571013,-180.86,6773.779010301415,95829.84130217477,354126529979.5014,4.088446729765808,-10472.735,7390.523109684116,181272.17669294975,2977059634413.5527,2.8855211686823474,-1317.3,5748.85893199685,83408.22298790449,886253731062.9968,3.975190380168529,-621.12,8361.072081712966,118569.23412926306,1873346582663.002,4.575399601066848,-9951.23,3449.024494998552,148944.78740795195,1682000939451.1917,1.4172966960761646,830.085,2512.3827570207136,37419.535606418205,77848960961.03835,3.638895751432209,2070.22,2041.6887866665672,41120.07769934293,117433395371.3834,2.7290800324960585
階段降り,-9893.93,2140.582720919703,143158.61499050623,1498729713285.8325,1.0782642229411805,2109.795,917.1758026545399,32534.432206510075,74990861662.2829,1.6823408595168468,-13.46,1198.4124533732115,16949.18039316356,28260356106.35328,2.154272174906196,-9669.155,2700.6111328688185,141975.9549395601,1468522912314.931,1.1805603804791205,-1987.695,955.7745978916787,31191.14135455771,89321753243.85942,1.6329654522992105,-94.875,1012.1427317206799,14376.607214499532,13231529250.520178,3.050611283238915,-9925.025,7022.569119942856,171943.36177648732,1882610112743.982,1.69121212269811,933.36,3843.5585308929535,55935.8616095256,256494210318.21893,3.6061771976386283,-546.43,6840.063160168918,97041.27964943579,347491310824.19434,3.847130913764737,-10172.755,4232.341135231776,155818.90499871958,1805106758192.353,2.0611475872309146,-1184.685,3895.9102101787457,57587.48981332665,423325390426.7439,3.573181954192949,-2114.99,4604.682720872308,71660.70842518932,436571659723.21936,3.9897374403527692,-9562.25,1927.8452576646291,137951.59469901028,1432638097967.1272,1.0685679030318407,600.17,2185.149553485985,32047.098464603623,41204383675.61528,3.792959054352612,2304.865,1973.353474868352,42910.433707899065,106769345165.38109,2.1970711502934903
階段降り,-9385.33,3345.7702418277327,140910.32447624268,1469334377191.7366,1.3034729156996465,2127.035,858.0524131863973,32436.189156557833,69873111649.79224,1.2958936528961469,779.085,1243.4958736461492,20752.13446853118,31178034394.976654,2.244981539798197,-9342.455,3235.236731365265,139820.04300886192,1357960100903.5586,1.2822258795525572,-1918.16,970.8393092577165,30403.50884355291,69588953399.44336,1.8103652798503655,0.185,701.1875432257762,9916.289679108815,8738778138.706736,3.4248616479531684,-9756.355,6771.861306094139,167955.09425736393,2172680114403.122,2.573126735511809,1042.075,3951.085438126464,57787.53575815463,264443172460.2207,3.7872454753285885,475.535,8041.976691011669,113929.38394900589,727618633687.9753,4.424835334590554,-10016.23,5393.6720327713665,160882.91482317194,1687185101212.4763,1.9817776221784908,-1836.23,5926.446452732025,87743.38512959253,299912466987.8208,3.9068250879046498,-1006.44,6875.945675788895,98276.70162352825,616181037751.2354,4.374511878858858,-9463.415,3179.2869016141026,141183.63125022672,1306873484929.6025,1.1829928580378468,753.255,2433.948966181296,36031.93212970962,74920649971.16106,3.7994490804046355,2264.505,2231.6296085988365,44962.54798162577,131458277697.0252,2.5838363283423633
階段降り,-9519.01,4979.089781265247,151922.93206096307,1954055457581.045,1.8546189055530073,2268.22,872.184849444199,34367.218042780245,81533161061.13618,1.3071165816617643,1038.415,1281.6338957654798,23327.628062021224,27350015659.735344,2.6299790230372233,-9816.285,4832.766734881273,154735.31304456652,1871203429725.8208,1.7768809872937779,-2096.465,1085.872620879171,33389.47392517588,87366084032.57266,2.080893554680356,269.16,1163.1323933241652,16883.86253201559,31618892303.990204,3.415649901475642,-10001.085,7874.926426181708,180020.09187587924,3269730598781.331,3.3608361516485896,1140.46,4975.158364152843,72184.27773414375,679757514551.319,4.162649707412681,715.24,7209.961178286609,102464.73388439557,1673084512308.0625,4.883210926789778,-10262.82,9105.650010164018,194030.0680100896,2277083407523.955,2.4470962922318567,-1540.73,9185.160464961948,131712.58231467486,699162865252.6716,3.7157824034474807,384.88,10228.44390831763,144754.41091724977,652490892644.1205,4.451812901008978,-9457.995,4280.871900089397,146819.29957944903,1752842118653.8386,1.7907694923191397,996.31,2865.893606521359,42909.15934855867,148596026583.60208,4.167064563530122,1719.69,2104.429270348614,38434.24579720539,135794585277.20212,3.00591456981074
階段降り,-10329.245,4917.424006019312,161786.5019864142,1816441701878.4165,1.7458728505098624,2319.58,920.0263874476642,35289.94171148488,79297108499.85648,1.772952487484837,809.67,1056.4021729909496,18823.129707888642,40073394634.164566,2.4287310751358353,-10429.415,5178.983432371163,164678.21145191006,1955090120352.336,1.8289256409141612,-2285.655,1058.074173191559,35619.48830345546,75525719675.55685,1.896008296182706,519.84,1324.0390607531185,20116.227578748458,20678443390.269123,3.131362741672124,-10802.405,8075.839618329169,190741.25894782177,2321127455416.9204,2.5818133944171717,1304.55,5644.857826154699,81934.45011715157,496746873221.3358,4.114298358546419,597.465,6647.610843662181,94390.35369676289,739844332762.8076,4.450359935756493,-10508.49,9244.369133148028,197932.67681209184,3000352282637.126,3.209820286535251,-1458.865,9446.490602693411,135177.27012704467,1463510012490.6035,3.8737328360657415,352.46,9989.956028852182,141367.2165036859,1577095561350.7307,4.674786854866653,-9922.515,4164.36358040157,152182.93462474694,1750061893889.4004,1.7201067939053618,1068.42,2724.648594516363,41388.96292491514,126822194133.08727,4.1402865957191946,1727.945,1860.283395608045,35906.67969890839,106392354778.42166,3.0278838218378676
階段降り,-9887.59,3788.6202820947888,149745.16997218976,1581589438205.5488,1.4114794369506656,2270.19,841.8332637167531,34241.62928366581,92220962659.43948,1.6881581368698384,873.36,554.376740493322,14629.362665543567,25647071273.857338,1.7561760650473466,-9782.715,4053.7966455873197,149756.32208023808,1638862524129.3455,1.5088374259066293,-2270.79,926.8123412536112,34685.64066007719,83671123434.65453,1.2752882306074884,461.61,969.1568025350699,15181.22985795288,11098775124.112188,2.9798741891475213,-10263.185,6387.683110547596,170959.3295874782,1761258818168.0469,1.882183531171876,1269.315,5323.359372217417,77394.2059523838,141424968947.19254,3.91005956269975,1199.6,6340.784727460792,91262.90716386368,203995483034.24277,3.8521111909057355,-9870.975,5826.899699186099,162104.2303920536,2378225205065.833,2.6016886947530797,-1537.165,6672.337934920187,96832.81443291834,1526239718164.8594,3.777790212821589,1163.845,6212.590131416607,89387.7075721265,1264444313042.4521,4.519365769907646,-9823.35,3541.202375959331,147674.1815552062,1553528454857.8962,1.3360307576493153,824.17,2197.3563800849424,33189.24901229312,81746928233.58405,3.788320624999833,1785.435,1742.001379383783,35277.03770159847,82547849749.43481,2.943430928535683
階段降り,-9259.055,3148.180209577432,138304.83586990007,1631835227003.4417,1.4262378189519183,2060.24,912.442147426345,31865.77954483461,96452066464.26773,1.3340338814652213,1145.025,604.1624486634365,18308.98421540638,16203090306.336327,1.9454852139930683,-9298.235,3086.5743518948325,138552.60036895736,1556782317740.0852,1.424336022737033,-2229.58,722.6287384265863,33145.796928117445,74544077499.67474,1.5482976906171064,123.365,735.7744639323929,10550.668083112083,13016027210.58683,3.2510060193380683,-9281.915,5148.1062117807,150104.5926246096,2046751750806.9966,2.2348120267906206,993.31,4074.1474843088326,59304.87750598596,360860796099.3372,4.164062977616896,1637.13,4499.349656683731,67711.65626389596,434094691151.11536,4.598672371550454,-9652.615,5945.083082411465,160322.79263722923,2196958059399.1665,2.7494606017899708,-1492.495,6631.382021115585,96127.79913739834,679872669068.5381,3.7157432424431893,1091.92,6358.5704237351965,91240.02095571876,763845135905.656,4.3488493490965565,-9353.54,2808.930993883616,138115.02732143234,1564889375749.2532,1.376366546513204,1004.88,1814.8873479089555,29338.029586187276,75124717709.66092,3.962018429932907,1459.105,1450.2977466627326,29094.16077153627,80834082366.82056,2.834058617003091
階段降り,-9875.37,3701.9601447206323,149149.21491580168,1596032505150.1917,1.4815306313396364,2243.94,785.44888847079,33622.00672178863,65189626023.74808,1.2239242767974376,945.43,760.7015479805467,17161.029864201042,21459316137.833557,1.5911939762863394,-9906.085,3750.103871598092,149795.72695841495,1624590046759.9248,1.5059974137507748,-1950.94,1336.0589868714628,33440.156997239115,93597944304.15479,2.448161677816328,155.01,1196.5109735811034,17062.62939877673,24968310638.446724,3.4125264499132064,-10237.805,6629.251557074525,172487.46471845426,2640517642569.6577,3.0448167043218226,1325.135,4664.040472248821,68570.04636865867,639304461230.297,4.0171671729786045,1334.95,5763.255678650739,83662.66493484414,1026978703981.2386,4.715560925941642,-10345.54,8636.3535417675,190586.88327899168,1738119685833.6929,1.808294372982593,-1743.33,7851.403572043667,113739.82375579805,205828927305.79138,3.40213183547934,1091.085,8397.006779071633,119749.89713983056,233405096513.4888,3.899825654741008,-9948.4,3191.062103751664,147752.1843561035,1584062384371.4363,1.4123085139618623,1062.485,2198.9674758338288,34537.89899516182,78667365399.14386,4.01490587807446,1691.39,1767.4253783116276,34596.51022863433,78189634839.49411,2.8976620727954283
